iter	Passed	Remaining
0	0	77
1	1	76
2	2	73
3	2	69
4	3	69
5	4	68
6	5	68
7	5	68
8	6	68
9	7	67
10	8	68
11	9	68
12	10	67
13	10	66
14	11	65
15	12	64
16	12	63
17	13	62
18	14	61
19	15	60
20	15	59
21	16	58
22	17	57
23	17	56
24	18	55
25	19	55
26	20	54
27	21	54
28	21	53
29	22	53
30	23	52
31	24	51
32	25	51
33	25	50
34	26	49
35	27	48
36	28	47
37	28	47
38	29	46
39	30	45
40	30	44
41	31	43
42	31	42
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	43	31
58	43	30
59	44	29
60	45	28
61	46	28
62	46	27
63	47	26
64	48	25
65	48	25
66	49	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	64	10
86	64	9
87	65	8
88	66	8
89	67	7
90	68	6
91	68	5
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
